Documento	Id
Indivíduo de numero 19 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul ( Santa Catarina ) , atraves de monitoramento do tipo Acionamento com a mare Indeterminado e vento Sul . Espécie : Sula leucogaster , Juvenil Não , , , esta ameacada de extincao . Foi encontrado Vivo em ambiente Arenoso com o Cod de carcaca 1 e Não apresentava oleo .	19
Indivíduo de numero 20 registrado pela equipe do Trecho 04 na cidade de Barra Velha ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento Sul . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	20
Indivíduo de numero 21 registrado pela equipe do Trecho 04 na cidade de Barra Velha ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento Sul . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	21
Indivíduo de numero 22 registrado pela equipe do Trecho 04 na cidade de Barra Velha ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento Sul . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	22
Indivíduo de numero 23 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Enchente e vento N /A. Espécie : Sula leucogaster , Juvenil Não , , , esta ameacada de extincao . Foi encontrado Vivo em ambiente Arenoso com o Cod de carcaca 1 e Não apresentava oleo .	23
Indivíduo de numero 24 registrado pela equipe do Trecho 05 na cidade de Balneário Barra Do Sul ( Santa Catarina ) , atraves de monitoramento do tipo Acionamento com a mare Indeterminado e vento N / A. Espécie : Sula leucogaster , Juvenil Não , , , esta ameacada de extincao . Foi encontrado Vivo em ambiente Outros com o Cod de carcaca 1 e Não apresentava oleo .	24
Indivíduo de numero 25 registrado pela equipe do Trecho 06 na cidade de Guaraqueçaba ( Paraná ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste . Espécie : Caretta caretta , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Vivo em ambiente Arenoso com o Cod de carcaca 1 e Não apresentava oleo .	25
Indivíduo de numero 26 registrado pela equipe do Trecho 06 na cidade de Matinhos , Pontal Do Paraná ( Paraná ) , atraves de monitoramento do tipo Acionamento com a mare Indeterminado e vento Sul . Espécie : Stenella frontalis , Juvenil Não , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	26
Indivíduo de numero 27 registrado pela equipe do Trecho 06 na cidade de Guaratuba ( Paraná ) , atraves de monitoramento do tipo Acionamento com a mare Indeterminado e vento Sul . Espécie : Sotalia guianensis , Adulto Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 2 e Não apresentava oleo .	27
Indivíduo de numero 28 registrado pela equipe do Trecho 01 na cidade de Imbituba ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Enchente e vento Sul . Espécie : Larus dominicanus , Juvenil Não , , , esta ameacada de extincao . Foi encontrado Vivo em ambiente Arenoso com o Cod de carcaca 1 e Não apresentava oleo .	28
Indivíduo de numero 29 registrado pela equipe do Trecho 04 na cidade de Penha ( Santa Catarina ) , atraves de monitoramento do tipo Acionamento com a mare Enchente e vento Oeste . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	29
Indivíduo de numero 30 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul ( Santa Catarina ) , atraves de monitoramento do tipo Acionamento com a mare Vazia e vento Sudeste . Espécie : Chelonia mydas , Indeterminado Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	30
Indivíduo de numero 31 registrado pela equipe do Trecho 04 na cidade de Penha ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Enchente e vento Oeste . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	31
Indivíduo de numero 32 registrado pela equipe do Trecho 02 na cidade de Palhoça ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento N / A. Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	32
Indivíduo de numero 33 registrado pela equipe do Trecho 06 na cidade de Paranaguá ( Paraná ) , atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	33
Indivíduo de numero 34 registrado pela equipe do Trecho 02 na cidade de Garopaba ( Santa Catarina ) , atraves de monitoramento do tipo Regular com a mare Vazia e vento Sudeste . Espécie : Puffinus puffinus , Indeterminado Não , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 5 e Não apresentava oleo .	34
Indivíduo de numero 35 registrado pela equipe do Trecho 01 na cidade de Laguna ( Santa Catarina ) , atraves de monitoramento do tipo Acionamento com a mare Vazante e vento Nordeste . Espécie : Chelonia mydas , Juvenil Sim , , , esta ameacada de extincao . Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo .	35
